indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
0341X,607,13.754773074533402,67.78328981723237,41.846944444444446,2.2225,1
0349,578,13.60394268098152,67.24975845410628,41.92611111111111,2.3175,1
0360X,337,14.082774001699235,75.71495327102804,42.05277777777778,2.551111111111111,0
0363X,810,12.941682091312247,71.6909169440515,41.880833333333335,2.513333333333333,0
0367,143,16.362055004810447,70.15187407141025,41.91166666666666,2.763333333333333,1
0370E,76,17.132496576905524,66.27818347786399,41.97222222222222,2.819444444444444,1
0372C,157,15.468136306658701,65.03538552155054,42.10444444444445,2.763611111111111,1
0385X,1,16.892847349177334,70.08683729433272,42.053888888888885,3.2013888888888893,1
0394X,350,14.587551299589604,72.55905152758778,42.21055555555556,2.4719444444444445,0
0411X,2,16.407683486238533,73.44128440366973,42.22472222222223,3.093055555555556,1
0413A,355,15.353374006237882,67.85700197238658,42.386944444444445,2.7555555555555555,1
0421E,100,17.011567261022602,63.011329758514236,42.39,3.006111111111111,1
0421X,100,17.187557992408266,62.67102488401518,42.39,3.006111111111111,1
0429X,45,17.54994122257053,64.76409875223014,42.259166666666665,2.960277777777778,1
0433D,75,17.492410459366337,78.7886672804541,42.31916666666667,3.315555555555556,1
1002Y,183,14.307352573770292,74.69475926790057,43.13583333333333,-1.5430555555555554,0
1010X,54,14.806395975565936,77.72403880704276,43.27861111111111,-1.6758333333333333,0
1012P,120,15.611785434612372,75.50587314017228,43.32638888888889,-1.7966666666666666,0
1014,4,15.793354182955435,73.38193901485536,43.35694444444445,-1.7922222222222222,0
1014A,4,16.219507427677872,73.16340891321344,43.35694444444445,-1.7922222222222222,0
1021X,165,14.98712715855573,79.25902668759812,43.21388888888889,-1.8788888888888888,0
1021Y,305,13.061517984982679,85.52866406467996,43.21222222222222,-1.7977777777777777,0
1024E,250,14.51102423768569,77.75723221266614,43.30638888888888,-2.041111111111111,0
1025A,255,14.623892188213796,75.87231612608497,43.01555555555556,-2.256666666666667,0
1025X,255,14.409522878373094,77.45913179507235,43.05472222222222,-2.2319444444444447,0
1026X,290,14.303464799115371,77.7183929229635,43.05805555555556,-2.1841666666666666,0
1033X,520,13.039047805642634,78.82131661442006,43.085,-1.9508333333333328,0
1037X,460,12.990648148148148,77.82555555555555,43.05166666666666,-2.3372222222222225,0
1037Y,420,12.781507153705144,74.85129985797458,43.080000000000005,-2.3175,0
1038X,180,14.517027162977866,77.07771629778672,43.1725,-2.2672222222222222,0
1041A,28,15.88947644576425,77.70845218205545,43.30222222222222,-2.2511111111111117,0
