indicativo,provincia,latitud_dd,longitud_dd,start_date,end_date,cluster
2661,León,42.58833333333334,-5.651111111111112,2016-01-01,2024-12-31,1
2661B,León,42.59944444444445,-5.643611111111111,2017-07-03,2017-07-31,4
2664B,León,42.29583333333333,-5.504722222222222,2016-01-01,2024-12-31,4
2701D,León,42.88555555555556,-5.870833333333334,2017-01-01,2024-12-31,0
2728B,León,42.64833333333333,-6.070833333333333,2017-01-01,2024-12-31,3
2734D,León,42.47666666666667,-6.0744444444444445,2017-01-01,2024-12-31,1
2737E,León,42.3775,-6.196666666666667,2017-01-01,2024-12-31,1
2742R,León,42.46638888888889,-5.779722222222222,2017-01-01,2024-12-31,1
2755X,Zamora,42.01083333333333,-5.666666666666667,2017-01-01,2024-12-31,4
2766E,Zamora,42.0825,-6.639722222222222,2017-01-01,2024-12-31,0
2775X,Zamora,41.94138888888889,-6.279722222222222,2017-01-01,2024-12-31,4
2777K,Zamora,42.07805555555556,-6.007222222222223,2017-01-01,2024-12-31,4
2789H,Zamora,41.785555555555554,-5.908888888888889,2017-01-01,2024-12-31,4
2804F,Zamora,41.53388888888889,-6.141944444444444,2017-01-01,2024-12-31,4
2811A,Ávila,40.35055555555556,-5.143055555555556,2017-01-01,2019-12-31,3
2828Y,Ávila,40.35527777777778,-5.519166666666667,2017-01-01,2024-12-31,1
2847X,Salamanca,40.67555555555556,-5.643333333333333,2017-01-01,2024-12-31,4
2863C,Salamanca,40.73222222222223,-5.366111111111111,2017-01-01,2024-12-31,4
2867,Salamanca,40.95944444444445,-5.498333333333333,2017-01-01,2024-12-31,4
2870,Salamanca,40.9575,-5.662222222222223,2017-01-01,2025-06-11,4
2873X,Salamanca,40.90361111111111,-5.779722222222222,2017-01-01,2025-06-11,4
2882D,Zamora,41.23888888888889,-5.8975,2017-01-01,2025-06-10,1
2885K,Zamora,41.30444444444444,-6.022222222222222,2017-01-01,2025-06-11,1
2891A,Salamanca,41.26277777777778,-6.462222222222223,2017-01-01,2025-06-11,4
2914C,Salamanca,40.78611111111111,-6.202777777777778,2016-07-02,2025-06-11,4
2916A,Salamanca,41.01138888888889,-6.437777777777778,2017-01-01,2025-06-11,4
2918Y,Salamanca,40.56944444444445,-6.223611111111111,2017-01-01,2025-06-11,3
2926B,Salamanca,40.85138888888889,-6.608888888888888,2017-01-01,2025-06-11,1
2930Y,Salamanca,40.29666666666667,-6.812777777777778,2016-01-01,2025-06-11,0
2945A,Salamanca,40.485,-6.576944444444444,2016-01-01,2025-06-11,1
2946X,Salamanca,40.635,-6.6,2016-01-01,2025-06-11,4
2966D,Zamora,41.68333333333333,-6.301388888888889,2016-01-01,2025-06-11,1
2969U,Ourense,42.02722222222222,-7.183055555555556,2016-01-01,2024-12-31,0
2978X,Ourense,41.92666666666666,-7.421944444444445,2016-01-01,2024-12-31,1
3013,Guadalajara,40.84166666666667,-1.8788888888888888,2016-01-01,2024-12-31,4
3021Y,Guadalajara,40.75833333333333,-2.199722222222222,2016-01-01,2024-12-31,4
3040Y,Cuenca,40.57166666666667,-2.0763888888888893,2016-01-17,2024-10-31,4
3044X,Cuenca,40.530277777777776,-2.15,2016-01-01,2022-03-30,3
3085Y,Guadalajara,40.407777777777774,-2.953055555555556,2016-01-01,2024-12-31,4
3094B,Cuenca,40.011944444444445,-3.0213888888888887,2016-01-01,2024-12-31,4
3099Y,Toledo,39.93527777777778,-3.4961111111111114,2016-01-01,2024-12-31,4
3100B,Madrid,40.06722222222223,-3.546111111111111,2016-01-01,2024-12-31,4
3103,Guadalajara,41.00361111111111,-3.301944444444444,2016-01-01,2024-12-31,4
3104Y,Madrid,40.88972222222222,-3.888333333333333,2016-01-01,2024-12-31,3
3110C,Madrid,41.00694444444444,-3.613888888888889,2016-01-01,2024-12-31,4
3111D,Madrid,41.13555555555556,-3.5805555555555557,2016-01-01,2024-12-31,3
3125Y,Madrid,40.55,-3.6166666666666663,2016-01-01,2024-12-31,4
3126Y,Madrid,40.561388888888885,-3.7119444444444447,2016-01-01,2024-12-31,4
3129,Madrid,40.46666666666667,-3.555555555555556,2016-01-01,2024-12-31,4
3130C,Guadalajara,41.08638888888889,-2.618055555555556,2016-01-01,2024-12-31,4
3140Y,Guadalajara,40.985,-2.76,2016-02-12,2024-12-31,4
3168D,Guadalajara,40.63027777777778,-3.1502777777777777,2016-01-01,2024-12-31,4
3170Y,Madrid,40.52833333333333,-3.289722222222222,2016-03-30,2024-12-31,4
3175,Madrid,40.48861111111111,-3.443611111111111,2016-01-01,2024-12-31,4
3182Y,Madrid,40.31166666666666,-3.497777777777778,2016-01-01,2024-12-31,4
3191E,Madrid,40.69611111111111,-3.765,2016-01-01,2024-12-31,4
3194U,Madrid,40.45166666666667,-3.724166666666666,2016-01-01,2024-12-31,4
3194Y,Madrid,40.44833333333333,-3.813333333333333,2016-01-01,2024-12-31,4
3195,Madrid,40.41194444444445,-3.6780555555555554,2016-01-01,2024-12-31,4
3196,Madrid,40.37555555555556,-3.786111111111111,2016-01-01,2023-12-31,4
3200,Madrid,40.29944444444444,-3.7222222222222223,2016-01-01,2024-12-31,4
3209Y,Guadalajara,40.765277777777776,-2.8741666666666665,2016-01-01,2023-12-31,4
3229Y,Madrid,40.24722222222222,-3.3116666666666665,2016-01-01,2023-12-31,4
3245Y,Toledo,39.69611111111111,-3.5058333333333334,2016-01-01,2023-12-31,4
3254Y,Toledo,39.68694444444444,-3.780555555555555,2016-01-01,2023-12-31,4
3260B,Toledo,39.88472222222222,-4.045277777777778,2016-01-01,2023-12-31,4
3266A,Madrid,40.70638888888889,-4.141944444444444,2016-01-01,2023-12-31,3
3268C,Madrid,40.65972222222222,-4.0175,2016-01-01,2023-12-31,4
3298X,Toledo,39.54694444444444,-4.350555555555555,2016-01-01,2023-12-31,4
3305Y,Toledo,39.63055555555555,-4.476944444444444,2016-01-01,2023-12-31,4
3319D,Ávila,40.33972222222222,-5.012777777777778,2016-01-01,2025-06-11,0
3330Y,Madrid,40.31305555555555,-4.487222222222222,2016-01-01,2025-06-11,3
3337U,Ávila,40.4675,-4.4558333333333335,2016-01-01,2025-06-11,4
3338,Madrid,40.42777777777778,-4.25,2016-01-01,2025-06-11,4
3343Y,Madrid,40.49666666666667,-4.061111111111111,2016-01-01,2025-06-11,4
3362Y,Toledo,40.10833333333333,-4.680555555555556,2016-01-01,2025-06-11,4
3365A,Toledo,39.95861111111111,-4.863611111111111,2016-01-01,2025-06-11,4
3386A,Cáceres,39.59166666666667,-5.391666666666668,2016-01-01,2025-06-11,3
3391,Ávila,40.28861111111111,-4.590833333333333,2016-01-01,2025-06-11,4
3422D,Ávila,40.13916666666667,-5.311388888888889,2016-01-06,2025-06-11,3
