indicativo,altitud,tmed,latitud_dd,longitud_dd,cluster
2507Y,724,13.454220566297899,41.41944444444445,-4.963611111111112,4
2512Y,925,13.255826330532214,40.88222222222223,-5.018611111111111,4
2517A,755,13.348814926878468,41.172777777777775,-4.939722222222223,4
2536D,710,13.573460591133005,41.54833333333333,-5.271388888888889,4
2539,846,12.67185104052574,41.71194444444445,-4.855555555555555,4
2555B,811,13.189158279963403,41.236666666666665,-5.481388888888889,4
2565,702,14.267090395480226,41.555277777777775,-5.630555555555556,4
2568D,985,11.298621323529412,42.52361111111111,-4.851111111111111,4
2593D,782,12.981663929939792,42.094166666666666,-5.041111111111111,4
2604B,731,12.986263736263735,41.87583333333333,-5.040277777777778,4
2611D,690,13.130432402846196,41.85638888888889,-5.592499999999999,4
2614,656,14.518609742747675,41.51555555555556,-5.735277777777778,4
2624C,1090,10.544653850525448,42.958333333333336,-5.0075,3
2626Y,916,10.819093023255814,42.62,-5.193333333333333,4
2630X,1510,6.894405976883648,43.06222222222222,-5.376944444444444,5
2661,916,11.910173357664233,42.58833333333334,-5.651111111111112,4
2661B,912,20.348275862068967,42.59944444444445,-5.643611111111111,0
2664B,788,12.190432098765433,42.29583333333333,-5.504722222222222,4
2701D,1120,10.78258492720547,42.88555555555556,-5.870833333333334,3
2728B,995,11.352701443875175,42.64833333333333,-6.070833333333333,4
2734D,919,12.573061526085281,42.47666666666667,-6.0744444444444445,4
2737E,1020,10.560084995269897,42.3775,-6.196666666666667,4
2742R,850,11.944569123960598,42.46638888888889,-5.779722222222222,4
2755X,715,13.643838429940667,42.01083333333333,-5.666666666666667,4
2766E,933,10.331408140814082,42.0825,-6.639722222222222,3
2775X,850,12.173413705583757,41.94138888888889,-6.279722222222222,4
2777K,737,12.327172413793102,42.07805555555556,-6.007222222222223,4
2789H,711,13.255656788139119,41.785555555555554,-5.908888888888889,4
2804F,790,13.011882472759515,41.53388888888889,-6.141944444444444,4
2811A,1525,10.07327291299165,40.35055555555556,-5.143055555555556,5
2828Y,1012,11.853757338551858,40.35527777777778,-5.519166666666667,4
2847X,865,12.057033797818816,40.67555555555556,-5.643333333333333,4
2863C,897,12.13084910013844,40.73222222222223,-5.366111111111111,4
2867,790,12.685952902519167,40.95944444444445,-5.498333333333333,4
2870,775,14.248701575138355,40.9575,-5.662222222222223,4
2873X,817,12.47309407948094,40.90361111111111,-5.779722222222222,4
2882D,1003,13.340979926013944,41.23888888888889,-5.8975,4
2885K,804,12.376697926065228,41.30444444444444,-6.022222222222222,4
2891A,690,14.356113779091245,41.26277777777778,-6.462222222222223,4
2914C,785,13.072465075569967,40.78611111111111,-6.202777777777778,4
2916A,769,13.79705915039156,41.01138888888889,-6.437777777777778,4
2918Y,1027,12.578875354666899,40.56944444444445,-6.223611111111111,4
2926B,748,12.992000662471016,40.85138888888889,-6.608888888888888,4
2930Y,880,11.33239082626453,40.29666666666667,-6.812777777777778,3
2945A,805,12.851214022984841,40.485,-6.576944444444444,4
2946X,680,13.956709137270048,40.635,-6.6,4
2966D,840,12.741589192330041,41.68333333333333,-6.301388888888889,4
2969U,910,12.499578914535247,42.02722222222222,-7.183055555555556,3
2978X,380,14.00837159473523,41.92666666666666,-7.421944444444445,3
3013,1062,11.620377128953772,40.84166666666667,-1.8788888888888888,4
3021Y,1250,11.741392047687551,40.75833333333333,-2.199722222222222,4
3040Y,1214,11.288558205257349,40.57166666666667,-2.0763888888888893,4
3044X,928,12.91421052631579,40.530277777777776,-2.15,4
3085Y,920,14.353863242479322,40.407777777777774,-2.953055555555556,4
3094B,819,16.12629852882372,40.011944444444445,-3.0213888888888887,4
3099Y,733,15.220906656465186,39.93527777777778,-3.4961111111111114,4
3100B,540,15.732918469118463,40.06722222222223,-3.546111111111111,4
3103,910,13.384080237342705,41.00361111111111,-3.301944444444444,4
3104Y,1159,11.19523891966759,40.88972222222222,-3.888333333333333,3
3110C,1030,12.149755649083623,41.00694444444444,-3.613888888888889,4
3111D,1450,10.196779120364381,41.13555555555556,-3.5805555555555557,5
3125Y,672,16.126679493368883,40.55,-3.6166666666666663,4
3126Y,740,14.384961242067494,40.561388888888885,-3.7119444444444447,4
3129,609,15.568901813205612,40.46666666666667,-3.555555555555556,4
3130C,1005,11.256523640113981,41.08638888888889,-2.618055555555556,4
3140Y,990,13.692912680293505,40.985,-2.76,4
3168D,727,15.382928498118373,40.63027777777778,-3.1502777777777777,4
3170Y,605,15.098114204032958,40.52833333333333,-3.289722222222222,4
3175,607,15.096972288744439,40.48861111111111,-3.443611111111111,4
3182Y,533,15.816799384443515,40.31166666666666,-3.497777777777778,4
3191E,1004,14.18080738966815,40.69611111111111,-3.765,4
3194U,664,15.539589683652911,40.45166666666667,-3.724166666666666,4
3194Y,665,15.397374219610725,40.44833333333333,-3.813333333333333,4
3195,667,16.24181000781861,40.41194444444445,-3.6780555555555554,4
3196,690,16.13403284671533,40.37555555555556,-3.786111111111111,4
3200,620,16.4460516028147,40.29944444444444,-3.7222222222222223,4
3209Y,835,13.358029430582214,40.765277777777776,-2.8741666666666665,4
3229Y,594,15.293832599118941,40.24722222222222,-3.3116666666666665,4
3245Y,635,15.009953240512063,39.69611111111111,-3.5058333333333334,4
3254Y,717,16.08336860058039,39.68694444444444,-3.780555555555555,4
3260B,513,16.992379385964913,39.88472222222222,-4.045277777777778,4
3266A,1532,9.802324159021406,40.70638888888889,-4.141944444444444,5
3268C,924,14.863307883349831,40.65972222222222,-4.0175,4
3298X,917,14.993922105510018,39.54694444444444,-4.350555555555555,4
3305Y,750,15.582604562737641,39.63055555555555,-4.476944444444444,4
3319D,1285,8.845381773399014,40.33972222222222,-5.012777777777778,3
3330Y,890,13.548071525941737,40.31305555555555,-4.487222222222222,4
3337U,850,14.795773707169742,40.4675,-4.4558333333333335,4
3338,763,13.701804460756591,40.42777777777778,-4.25,4
3343Y,884,14.634428492545556,40.49666666666667,-4.061111111111111,4
3362Y,560,16.68553695098799,40.10833333333333,-4.680555555555556,4
3365A,372,16.465863529853717,39.95861111111111,-4.863611111111111,0
3386A,923,14.651688438188705,39.59166666666667,-5.391666666666668,3
3391,630,16.023176654663516,40.28861111111111,-4.590833333333333,4
3422D,350,16.82156444735979,40.13916666666667,-5.311388888888889,3
