indicativo,altitud,tmed,latitud_dd,longitud_dd,cluster
4575X,280,17.84372666168783,37.57527777777778,-6.767777777777778,0
4584X,270,18.57490923541623,37.73166666666667,-6.942222222222222,0
4589X,276,18.272139197267293,37.59777777777778,-7.1194444444444445,0
4608X,415,18.10634028892456,37.67722222222222,-6.630000000000001,0
4622X,145,18.361948818897638,37.450833333333335,-6.636666666666666,0
4642E,18,19.08476854156297,37.27833333333333,-6.911666666666667,0
5000C,87,19.32221081451061,35.88861111111111,-5.3469444444444445,0
5038X,782,18.148527271636144,37.91583333333333,-3.003888888888889,4
5038Y,799,17.29017569059267,37.91583333333333,-3.003888888888889,4
5047E,785,15.246491228070175,37.505833333333335,-2.735,4
5051X,1100,13.926213311262567,37.86138888888889,-2.6527777777777777,4
5060X,1190,13.514711690363349,37.86083333333333,-2.228055555555556,4
5103E,2152,7.94297520661157,37.15833333333333,-3.2569444444444446,5
5103F,1534,14.200145985401461,37.19111111111111,-3.253888888888889,4
